case,seed,controller,cycles,start_cycle,vehicles_entered,vehicles_rejected,vehicles_exited,throughput_per_hour,total_waiting_time,average_queue_length,max_queue_length,final_queue_total,total_blocked,demand_generated,vehicles_served,in_transit_final,share_NS20/EW40,share_NS30/EW30,share_NS40/EW20,plan_switches,plan_switch_rate,waiting_per_admitted,qubo_energy,plan_I1,plan_I2,plan_I3,plan_I4,plan_I5,plan_I6,one_hot_valid
balanced_medium,0,fixed,60,30,7205.289901892303,0.0,7196.550528057851,7196.550528057851,518274.58210520237,5.998548403995398,14.995891197681933,0.0,0.0,7205.289901892303,17275.819403506746,180.22137936530353,0.0,1.0,0.0,0,0.0,71.92973345445678,,,,,,,,
balanced_medium,0,adaptive,60,30,7205.289901892303,0.0,7187.44758047995,7187.44758047995,548187.2029158686,6.344759293007739,19.721806114638845,11.47693722845225,0.0,7205.289901892303,17251.520198832488,177.84738971475193,0.38055555555555554,0.23333333333333334,0.3861111111111111,293,0.827683615819209,76.08121399416558,,,,,,,,
balanced_medium,0,qubo_static,60,30,7205.289901892303,0.0,7196.550528057851,7196.550528057851,518274.58210520237,5.998548403995398,14.995891197681933,0.0,0.0,7205.289901892303,17275.819403506746,180.22137936530353,0.0,1.0,0.0,0,0.0,71.92973345445678,6598.672768876964,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,True
balanced_medium,0,qubo_receding,60,30,7205.289901892303,0.0,7196.550528057851,7196.550528057851,518274.58210520237,5.998548403995398,14.995891197681933,0.0,0.0,7205.289901892303,17275.819403506746,180.22137936530353,0.0,1.0,0.0,0,0.0,71.92973345445678,6472.254237585516,,,,,,,
balanced_medium,1,fixed,60,30,7147.969356035993,0.0,7152.62587862233,7152.62587862233,513624.5429217737,5.944728506039048,14.988512358785085,0.0,0.0,7147.969356035993,17120.818097392454,165.99946893074105,0.0,1.0,0.0,0,0.0,71.85600795672849,,,,,,,,
balanced_medium,1,adaptive,60,30,7147.969356035993,0.0,7140.644055287131,7140.644055287131,544881.5132598132,6.306498996062652,19.859195273010943,11.673604563894676,0.0,7147.969356035993,17097.162669493362,166.30768770204529,0.29444444444444445,0.4166666666666667,0.28888888888888886,240,0.6779661016949152,76.22885411500769,,,,,,,,
balanced_medium,1,qubo_static,60,30,7147.969356035993,0.0,7152.62587862233,7152.62587862233,513624.5429217737,5.944728506039048,14.988512358785085,0.0,0.0,7147.969356035993,17120.818097392454,165.99946893074105,0.0,1.0,0.0,0,0.0,71.85600795672849,6598.92245943315,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,True
balanced_medium,1,qubo_receding,60,30,7147.969356035993,0.0,7152.62587862233,7152.62587862233,513624.5429217737,5.944728506039048,14.988512358785085,0.0,0.0,7147.969356035993,17120.818097392454,165.99946893074105,0.0,1.0,0.0,0,0.0,71.85600795672849,6396.535802045298,,,,,,,
balanced_medium,2,fixed,60,30,7140.002581027705,0.0,7143.469411358988,7143.469411358988,514351.10888329695,5.953137834297419,14.97325629672579,0.0,0.0,7140.002581027705,17145.036962776565,158.7666450022673,0.0,1.0,0.0,0,0.0,72.03794439094771,,,,,,,,
balanced_medium,2,adaptive,60,30,7140.002581027705,0.0,7138.260570866075,7138.260570866075,546421.5111909786,6.324323046191882,19.69432448072834,6.709527051559615,0.0,7140.002581027705,17132.76251414248,157.26595844362,0.38055555555555554,0.25,0.36944444444444446,293,0.827683615819209,76.52959575153665,,,,,,,,
balanced_medium,2,qubo_static,60,30,7140.002581027705,0.0,7143.469411358988,7143.469411358988,514351.10888329695,5.953137834297419,14.97325629672579,0.0,0.0,7140.002581027705,17145.036962776565,158.7666450022673,0.0,1.0,0.0,0,0.0,72.03794439094771,6343.965800722188,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,True
balanced_medium,2,qubo_receding,60,30,7140.002581027705,0.0,7143.469411358988,7143.469411358988,514351.10888329695,5.953137834297419,14.97325629672579,0.0,0.0,7140.002581027705,17145.036962776565,158.7666450022673,0.0,1.0,0.0,0,0.0,72.03794439094771,6433.299676069366,,,,,,,
balanced_medium,3,fixed,60,30,7200.3076229423605,0.0,7203.639257220267,7203.639257220267,518867.1623206496,6.005406971303815,14.997369102161212,0.0,0.0,7200.3076229423605,17295.572077354987,159.31361282734477,0.0,1.0,0.0,0,0.0,72.06180478558746,,,,,,,,
balanced_medium,3,adaptive,60,30,7200.3076229423605,0.0,7195.377281517949,7195.377281517949,553740.507987884,6.409033657267176,19.57323862701657,7.913303986001697,0.0,7200.3076229423605,17274.055189047893,159.66228454366106,0.4083333333333333,0.18055555555555555,0.4111111111111111,314,0.8870056497175142,76.9051180846078,,,,,,,,
balanced_medium,3,qubo_static,60,30,7200.3076229423605,0.0,7203.639257220267,7203.639257220267,518867.1623206496,6.005406971303815,14.997369102161212,0.0,0.0,7200.3076229423605,17295.572077354987,159.31361282734477,0.0,1.0,0.0,0,0.0,72.06180478558746,6465.871318686266,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,True
balanced_medium,3,qubo_receding,60,30,7200.3076229423605,0.0,7203.639257220267,7203.639257220267,518867.1623206496,6.005406971303815,14.997369102161212,0.0,0.0,7200.3076229423605,17295.572077354987,159.31361282734477,0.0,1.0,0.0,0,0.0,72.06180478558746,6493.444825802495,,,,,,,
balanced_medium,4,fixed,60,30,7279.566250065799,0.0,7278.718285933929,7278.718285933929,523752.6538869913,6.061952012580918,14.997154842146532,0.0,0.0,7279.566250065799,17458.421796233044,157.05594519187946,0.0,1.0,0.0,0,0.0,71.9483326197158,,,,,,,,
balanced_medium,4,adaptive,60,30,7279.566250065799,0.0,7271.577793826186,7271.577793826186,559850.4269709832,6.479750312164157,19.617426400623483,8.398807392238476,0.0,7279.566250065799,17441.822867874987,155.79762990738436,0.42777777777777776,0.12777777777777777,0.4444444444444444,328,0.9265536723163842,76.90711338274073,,,,,,,,
balanced_medium,4,qubo_static,60,30,7279.566250065799,0.0,7278.718285933929,7278.718285933929,523752.6538869913,6.061952012580918,14.997154842146532,0.0,0.0,7279.566250065799,17458.421796233044,157.05594519187946,0.0,1.0,0.0,0,0.0,71.9483326197158,5973.923335601718,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,True
balanced_medium,4,qubo_receding,60,30,7279.566250065799,0.0,7278.718285933929,7278.718285933929,523752.6538869913,6.061952012580918,14.997154842146532,0.0,0.0,7279.566250065799,17458.421796233044,157.05594519187946,0.0,1.0,0.0,0,0.0,71.9483326197158,6539.496403200281,,,,,,,
ns_heavy,0,fixed,60,30,6841.531057553657,1085.9191988688624,6837.875579699958,6837.875579699958,990031.7559522195,11.458700879076614,40.0,150.0,0.0,7927.450256422519,15115.10736468622,143.59795785711455,0.0,1.0,0.0,0,0.0,144.70909327512834,,,,,,,,
ns_heavy,0,adaptive,60,30,7894.94272130878,32.507535113738825,7952.8380077419915,7952.8380077419915,759176.9200134319,8.786769907562869,40.0,68.44923571308935,0.0,7927.450256422519,17385.03222077029,163.59795785711455,0.016666666666666666,0.2861111111111111,0.6972222222222222,200,0.5649717514124294,96.15990220731832,,,,,,,,
ns_heavy,0,qubo_static,60,30,7900.000735872146,27.449520550372895,8023.220541961742,8023.220541961742,582909.6536482377,6.746639509817566,40.0,5.494818822980374,0.0,7927.450256422519,17503.427186443514,161.2278550908393,0.0,0.0,1.0,0,0.0,73.78602523432367,14748.055140836834,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,True
ns_heavy,0,qubo_receding,60,30,7899.333985870293,28.116270552225714,8003.602919252164,8003.602919252164,662445.3805205956,7.66719190417356,40.0,23.992627678255936,0.0,7927.450256422519,17464.64500487681,161.6809189432891,0.0,0.21666666666666667,0.7833333333333333,99,0.2796610169491525,83.86091557915209,7886.545837009781,,,,,,,
ns_heavy,1,fixed,60,30,6810.103139538778,1092.7793240969834,6813.11875286158,6813.11875286158,987635.8332371982,11.430970292097202,40.0,149.09857982353242,0.0,7902.882463635761,15032.76596943776,136.72050514253363,0.0,1.0,0.0,0,0.0,145.02509183790232,,,,,,,,
ns_heavy,1,adaptive,60,30,7891.983797013918,10.89866662184339,7962.2702918583955,7962.2702918583955,776555.069247084,8.987905894063472,40.0,66.82769830185697,0.0,7902.882463635761,17362.195385784456,151.72050514253363,0.03333333333333333,0.2361111111111111,0.7305555555555555,189,0.5338983050847458,98.39795534563925,,,,,,,,
ns_heavy,1,qubo_static,60,30,7894.801938775995,8.080524859766086,8024.466213475237,8024.466213475237,582140.8457929504,6.73774127075174,40.0,4.744768959603775,0.0,7902.882463635761,17473.166040152562,154.42565463002228,0.0,0.0,1.0,0,0.0,73.7372324609837,14716.535835258532,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,True
ns_heavy,1,qubo_receding,60,30,7893.875110460845,9.0073531749169,7960.376664163389,7960.376664163389,663099.5640082419,7.674763472317614,40.0,60.61263944378945,0.0,7902.882463635761,17352.28179204138,161.72050514253363,0.0,0.2111111111111111,0.7888888888888889,105,0.2966101694915254,84.00178046008257,7868.002466362449,,,,,,,
ns_heavy,2,fixed,60,30,6826.7912864815435,1019.309723317353,6829.775466193026,6829.775466193026,987691.1125156115,11.431610098560318,40.0,143.483136669596,0.0,7846.1010097988965,15092.509382259292,138.02811453013982,0.0,1.0,0.0,0,0.0,144.67867422158398,,,,,,,,
ns_heavy,2,adaptive,60,30,7827.1221263431835,18.978883455713216,7919.251177465314,7919.251177465314,765782.7009108914,8.863225704987169,40.0,44.3587228053877,0.0,7846.1010097988965,17300.993497442552,148.0076569836994,0.058333333333333334,0.25,0.6916666666666667,212,0.5988700564971752,97.83707070745089,,,,,,,,
ns_heavy,2,qubo_static,60,30,7827.1221263431835,18.978883455713216,7969.142123728251,7969.142123728251,574484.129628161,6.649121870696307,40.0,0.0,0.0,7846.1010097988965,17375.690016325752,142.47543352615025,0.0,0.0,1.0,0,0.0,73.39659715985023,14591.940561257346,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,NS40/EW20,True
ns_heavy,2,qubo_receding,60,30,7827.1221263431835,18.978883455713216,7948.912409168622,7948.912409168622,643387.8876545368,7.4466190700756565,40.0,10.799121967483678,0.0,7846.1010097988965,17344.66117979864,151.90602611829587,0.0,0.25277777777777777,0.7472222222222222,156,0.4406779661016949,82.1998018261568,7608.205360410462,,,,,,,
